timestamp,acc_bias_x,acc_bias_y,acc_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z
1757074582.000000000,-0.428766714,-0.089152801,0.050282713,0.000055660,-0.000857186,0.000217727
1757074583.000000000,-0.429965092,-0.088065406,0.050589159,0.000224998,-0.000904510,-0.000000544
1757074584.000000000,-0.430965958,-0.097188267,0.050468966,0.000262310,-0.000913297,-0.000247569
1757074585.000000000,-0.431190389,-0.104900429,0.050225985,0.000205110,-0.001009124,-0.000259075
1757074586.000000000,-0.431393180,-0.109702821,0.050083894,0.000111593,-0.001118359,-0.000259555
1757074587.000000000,-0.430220974,-0.112072979,0.049739584,-0.000020364,-0.001142953,-0.000512021
1757074588.000000000,-0.432874868,-0.113136893,0.050263030,-0.000154924,-0.001484261,-0.000970812
1757074589.000000000,-0.431617913,-0.115431188,0.049898712,0.000431434,-0.000813723,-0.000137829
1757074590.000000000,-0.434153299,-0.114985889,0.050451614,0.000373712,-0.000666913,0.000092194
1757074591.000000000,-0.433551949,-0.115213583,0.050331734,0.000847202,-0.000809026,-0.001186434
1757074592.000000000,-0.430259466,-0.114832265,0.049595416,0.001116265,-0.000999928,-0.001837254
1757074593.000000000,-0.431294863,-0.112527934,0.049800637,0.000759289,-0.000909649,-0.002020589
1757074594.000000000,-0.433782797,-0.111083228,0.050210543,0.000268920,-0.000531882,-0.002071798
1757074595.000000000,-0.430653070,-0.103917820,0.049379596,-0.000073688,-0.000113919,-0.002330424
1757074596.000000000,-0.428013714,-0.099710304,0.048711566,-0.000024097,-0.000123234,-0.002376440
1757074597.000000000,-0.426811960,-0.098130918,0.048378811,0.000319832,-0.000323445,-0.002227493
1757074598.000000000,-0.432581831,-0.091002092,0.049613486,0.000645672,-0.000209130,-0.002987956
1757074599.000000000,-0.430525225,-0.086327112,0.048985629,0.000770550,-0.000148903,-0.002273613
1757074600.000000000,-0.434554237,-0.081816404,0.049726472,0.000786007,-0.000265075,-0.002163723
1757074601.000000000,-0.436209070,-0.078347123,0.049905369,0.000692336,-0.000434314,-0.002519124
1757074602.000000000,-0.437355626,-0.075708465,0.049961013,0.000804231,-0.000399472,-0.002901697
1757074603.000000000,-0.441136753,-0.076274717,0.050600673,0.000725332,-0.000331779,-0.003029590
1757074604.000000000,-0.441392550,-0.073116968,0.050466459,0.000792149,-0.000267289,-0.003089211
1757074605.000000000,-0.441062532,-0.067904020,0.050188000,0.000629753,-0.000313879,-0.003090179
1757074606.000000000,-0.439887281,-0.064519356,0.049878010,0.000632815,-0.000351935,-0.003060265
1757074607.000000000,-0.440015549,-0.061986050,0.049778749,0.000758257,-0.000425327,-0.002953324
1757074608.000000000,-0.439896464,-0.060044913,0.049686222,0.000773505,-0.000442821,-0.002924924
1757074609.000000000,-0.439908367,-0.059271207,0.049656119,0.000797692,-0.000470355,-0.002928203
1757074610.000000000,-0.440026345,-0.058704415,0.049657543,0.000838123,-0.000479011,-0.002961608
1757074611.000000000,-0.440345561,-0.058360527,0.049656546,0.000724969,-0.000487186,-0.002940520
1757074612.000000000,-0.440918771,-0.057933709,0.049835496,0.000745350,-0.000355014,-0.002879500
1757074613.000000000,-0.441923041,-0.057462734,0.050042832,0.000572446,-0.000197770,-0.002513624
1757074614.000000000,-0.446466889,-0.056289029,0.050725527,0.000270607,-0.000060191,-0.001449929
1757074615.000000000,-0.446997888,-0.055849813,0.050827579,0.000088216,-0.000298436,-0.001153470
1757074616.000000000,-0.445754987,-0.055077184,0.050683174,-0.000043866,-0.000511255,-0.001129004
1757074617.000000000,-0.445675614,-0.054962711,0.050672689,0.000025823,-0.000429475,-0.001114848
1757074618.000000000,-0.443643342,-0.053785593,0.050392896,-0.000014261,-0.000329615,-0.001094376
1757074619.000000000,-0.442668333,-0.053141071,0.050250273,0.000017603,-0.000362989,-0.001107384
1757074620.000000000,-0.441306050,-0.052176127,0.050040926,-0.000176466,-0.000625784,-0.001114683
1757074621.000000000,-0.439736482,-0.050992646,0.049812989,0.000147682,-0.000483540,-0.000789687
1757074622.000000000,-0.440879644,-0.051565378,0.050040375,0.000269602,-0.000446924,-0.000776231
1757074623.000000000,-0.442264696,-0.052509504,0.050262524,0.000058897,-0.000419504,-0.000672489
1757074624.000000000,-0.444751778,-0.054381314,0.050613794,0.000043859,-0.000448678,-0.000720088
1757074625.000000000,-0.445681279,-0.055029852,0.050757985,0.000041733,-0.000466944,-0.000762770
1757074626.000000000,-0.447796082,-0.056767440,0.051093723,0.000075657,-0.000512563,-0.000782877
1757074627.000000000,-0.448618319,-0.057458044,0.051217149,0.000055542,-0.000526183,-0.000772437
1757074628.000000000,-0.443476649,-0.056447192,0.050460940,0.000133902,-0.000550092,-0.000797365
1757074629.000000000,-0.444378798,-0.057950518,0.050558855,0.000093228,-0.000477780,-0.000885852
1757074630.000000000,-0.443114770,-0.056005760,0.050430402,0.000018991,-0.000350387,-0.000840905
1757074631.000000000,-0.440747291,-0.053256178,0.050132568,0.000311003,-0.000299288,-0.000822065
1757074632.000000000,-0.441944019,-0.055470239,0.050205899,0.000192755,-0.000390429,-0.000806845
1757074633.000000000,-0.442509246,-0.057034794,0.050186140,-0.000020681,-0.000506025,-0.000777958
1757074634.000000000,-0.443306870,-0.059225060,0.050176279,-0.000059214,-0.000466727,-0.000811658
1757074635.000000000,-0.443197389,-0.057320829,0.050333206,0.000212250,-0.000351085,-0.000782449
1757074636.000000000,-0.444530948,-0.059263653,0.050454030,0.000114973,-0.000389948,-0.000798686
1757074637.000000000,-0.444931514,-0.058820067,0.050591889,0.000106370,-0.000465091,-0.000775039
1757074638.000000000,-0.447915755,-0.059843410,0.051213903,0.000067766,-0.000464377,-0.000826281
1757074639.000000000,-0.449472924,-0.059712077,0.051616400,-0.000028340,-0.000402058,-0.000834923
1757074640.000000000,-0.448708252,-0.055606811,0.051765784,-0.000112028,-0.000483907,-0.000857816
1757074641.000000000,-0.449710625,-0.053920740,0.052161708,-0.000146215,-0.000488080,-0.000676507
1757074642.000000000,-0.451622498,-0.055432377,0.052486233,-0.000177463,-0.000585481,-0.000614318
1757074642.000000000,-0.451622498,-0.055432377,0.052486233,-0.000177463,-0.000585481,-0.000614318
1757074642.000000000,-0.451622498,-0.055432377,0.052486233,-0.000177463,-0.000585481,-0.000614318
1757074644.000000000,-0.452861022,-0.056133375,0.052739798,-0.000131596,-0.000543198,-0.000682108
1757074645.000000000,-0.453419296,-0.057109023,0.052845098,-0.000133014,-0.000507175,-0.000822353
1757074646.000000000,-0.454997696,-0.054999602,0.053479008,-0.000108853,-0.000410892,-0.000684040
1757074647.000000000,-0.455463798,-0.054367401,0.053731103,-0.000246983,-0.000290985,-0.000673928
1757074648.000000000,-0.455764625,-0.053755258,0.053957136,-0.000258589,-0.000195248,-0.000749216
1757074649.000000000,-0.455848969,-0.053115698,0.054146808,-0.000272079,-0.000106149,-0.000824369
1757074650.000000000,-0.456226961,-0.052241769,0.054437073,-0.000119388,-0.000155661,-0.000857017
1757074651.000000000,-0.456733387,-0.051071596,0.054811172,0.000216938,-0.000033752,-0.000770354
1757074652.000000000,-0.458716195,-0.049548371,0.055577588,0.000297975,0.000064364,-0.000734926
1757074653.000000000,-0.460285853,-0.048647346,0.056140533,0.000145609,-0.000385544,-0.000571292
1757074654.000000000,-0.462652238,-0.046176730,0.057202083,-0.000033959,0.000033848,-0.000040512
1757074655.000000000,-0.464213279,-0.044347367,0.058045375,-0.000056738,0.000344379,0.000002003
1757074656.000000000,-0.465220059,-0.042918315,0.058728239,-0.000099393,0.000199297,0.000084410
1757074657.000000000,-0.465797434,-0.041694729,0.059298006,0.000058238,0.000085681,-0.000025808
1757074658.000000000,-0.466310210,-0.040971309,0.059763134,-0.000084580,0.000288999,-0.000130736
1757074659.000000000,-0.466801531,-0.040248497,0.060277750,0.000002265,0.000437631,-0.000007666
1757074660.000000000,-0.467257938,-0.039333312,0.060842353,-0.000209886,0.000447692,0.000198241
1757074661.000000000,-0.467550632,-0.038744556,0.061023503,-0.000299456,0.000332401,0.000553243
1757074662.000000000,-0.467816077,-0.038106275,0.061353267,-0.000179364,0.000125180,0.000414593
1757074663.000000000,-0.467583501,-0.037736215,0.061439540,-0.000109437,0.000107122,0.000360410
1757074664.000000000,-0.467803381,-0.037858224,0.061454009,-0.000311001,0.000099162,0.000405876
1757074665.000000000,-0.469190431,-0.037892973,0.061805972,-0.000364997,-0.000074956,0.000402059
1757074666.000000000,-0.469102535,-0.037604414,0.061926575,-0.000183845,0.000065203,0.000494985
1757074667.000000000,-0.468836618,-0.037504562,0.061917868,-0.000350189,0.000023066,0.000468730
1757074668.000000000,-0.469882771,-0.037822613,0.062098140,-0.000134212,-0.000168051,0.000604929
1757074669.000000000,-0.471068895,-0.038289724,0.062238479,0.000015263,-0.000182914,0.000755255
1757074670.000000000,-0.471755347,-0.038515893,0.062246737,0.000307982,-0.000093588,0.001075906
1757074671.000000000,-0.472141318,-0.038558043,0.062172663,0.000305378,-0.000015303,0.001052650
1757074672.000000000,-0.472722251,-0.038295837,0.062168292,0.000375249,0.000093533,0.000990278
1757074673.000000000,-0.473013077,-0.037876459,0.062059661,0.000394620,0.000030655,0.000943772
1757074674.000000000,-0.473139722,-0.037514120,0.061938780,0.000150675,-0.000009575,0.001155091
1757074675.000000000,-0.473201790,-0.037249135,0.061784463,0.000245715,-0.000049409,0.001078676
1757074676.000000000,-0.472700657,-0.036855966,0.061563238,0.000425168,-0.000139711,0.001097622
1757074677.000000000,-0.471998008,-0.036484007,0.061285676,0.000614850,-0.000087072,0.001143165
1757074678.000000000,-0.471421924,-0.036236139,0.060970962,0.000603625,-0.000086197,0.001112749
1757074679.000000000,-0.470663513,-0.036014305,0.060621714,0.000546400,-0.000132231,0.001071389
1757074680.000000000,-0.470012004,-0.035852366,0.060268344,0.000594809,-0.000204174,0.001023194
1757074681.000000000,-0.469049498,-0.035537888,0.059888150,0.000488403,-0.000180761,0.001078587
1757074682.000000000,-0.468094398,-0.035107451,0.059480171,0.000389382,-0.000214099,0.001101283
1757074683.000000000,-0.466944156,-0.034479685,0.058973117,0.000398433,-0.000273351,0.001240679
1757074684.000000000,-0.465554235,-0.033897050,0.058444103,0.000423464,-0.000687894,0.001261805
1757074685.000000000,-0.463542246,-0.033378507,0.057780460,0.000561308,-0.000628262,0.001495969
1757074686.000000000,-0.460856110,-0.032409950,0.056833096,0.000526497,-0.000547445,0.001458228
1757074687.000000000,-0.457916491,-0.031573090,0.055915251,0.000576587,-0.000363405,0.001426561
1757074688.000000000,-0.454258817,-0.030230387,0.054746756,0.000632935,-0.000393989,0.001282143
1757074689.000000000,-0.451319684,-0.028393235,0.053895182,0.001120335,-0.000440502,0.000878502
1757074690.000000000,-0.447598963,-0.025455678,0.052729504,0.000849397,-0.000417911,0.001129186
1757074691.000000000,-0.444654866,-0.021858375,0.051873116,0.000760861,-0.000514668,0.001140322
1757074692.000000000,-0.441412625,-0.017403508,0.050973391,0.000976947,-0.000667994,0.001270308
1757074693.000000000,-0.437868100,-0.011571445,0.049951070,0.001069613,-0.000728427,0.001350083
1757074694.000000000,-0.435063947,-0.004875092,0.049049841,0.000813040,-0.000553084,0.001574357
1757074695.000000000,-0.431213444,0.003576778,0.047847882,0.000425335,-0.000447272,0.001827570
1757074696.000000000,-0.424730435,0.011732884,0.046022247,0.000518182,-0.000395955,0.001734936
1757074697.000000000,-0.418877536,0.019425725,0.044371939,0.000721561,-0.000252517,0.001536386
1757074698.000000000,-0.416923093,0.026966750,0.043696196,0.001004844,-0.000240062,0.001492884
1757074699.000000000,-0.413321382,0.036827705,0.042563204,0.001042791,-0.000260374,0.001447103
1757074700.000000000,-0.411714399,0.044176816,0.041984205,0.000890289,-0.000397973,0.001377552
1757074701.000000000,-0.410821333,0.050799499,0.041585576,0.000974869,-0.000354450,0.001354235
1757074702.000000000,-0.409844714,0.055119695,0.041264789,0.001030709,-0.000324743,0.001159406
1757074703.000000000,-0.409542335,0.051666399,0.041311654,0.000971233,-0.000432833,0.001261051
1757074704.000000000,-0.407924603,0.056798491,0.040887416,0.000850667,-0.000534661,0.001381543
1757074705.000000000,-0.406899191,0.062481877,0.040552211,0.000743830,-0.000421953,0.001452405
1757074706.000000000,-0.406470317,0.066692459,0.040317284,0.000620991,-0.000422981,0.001420999
1757074707.000000000,-0.406052846,0.069568434,0.040132625,0.000487437,-0.000234493,0.001157573
1757074708.000000000,-0.405959005,0.072591134,0.039965811,0.000599763,-0.000394999,0.001053368
1757074709.000000000,-0.405991329,0.074548754,0.039858128,0.000873128,-0.000558915,0.000666690
1757074710.000000000,-0.405872974,0.075500728,0.039782780,0.000789782,-0.000596364,0.000727801
1757074711.000000000,-0.405617394,0.076402497,0.039748881,0.000525879,-0.000738788,0.000750682
1757074712.000000000,-0.405722377,0.076948912,0.039691341,0.000521199,-0.000752543,0.000772287
1757074713.000000000,-0.405606029,0.076463618,0.039596386,0.000611588,-0.000849798,0.000765630
1757074714.000000000,-0.405249105,0.076524829,0.039570041,0.000672059,-0.000569623,0.000882360
1757074715.000000000,-0.404564067,0.076150532,0.039530748,0.000623958,-0.000671600,0.000901525
1757074716.000000000,-0.404221250,0.077189762,0.039470227,0.000728064,-0.000829591,0.000821843
1757074717.000000000,-0.404080828,0.077254240,0.039460735,0.000679672,-0.000487569,0.001269261
1757074718.000000000,-0.403977821,0.077275622,0.039457386,0.000212061,-0.000568424,0.001209707
1757074719.000000000,-0.403579993,0.077136946,0.039426487,0.000431473,-0.000755722,0.001387150
1757074720.000000000,-0.403089393,0.076889774,0.039402473,0.000541235,-0.000565427,0.001280391
1757074721.000000000,-0.402507092,0.076499913,0.039386790,0.000492695,-0.000651003,0.001327791
1757074722.000000000,-0.402106655,0.076311047,0.039384427,0.000519619,-0.000797908,0.001397599
1757074723.000000000,-0.401698884,0.076155411,0.039384328,0.000499470,-0.000724953,0.001386273
1757074724.000000000,-0.401894660,0.076670899,0.039351559,0.000496956,-0.000841849,0.001396726
1757074725.000000000,-0.401529529,0.076674557,0.039347920,0.000596028,-0.000901719,0.001421009
1757074726.000000000,-0.401447569,0.076519011,0.039420698,0.000732120,-0.000788957,0.001485524
1757074727.000000000,-0.401440614,0.076008110,0.039509004,0.000487234,-0.000700440,0.001871193
1757074728.000000000,-0.401440831,0.075611621,0.039594873,0.000125642,-0.000838772,0.002388777
1757074729.000000000,-0.401315345,0.075291326,0.039683251,0.000267408,-0.000720853,0.002210415
1757074730.000000000,-0.400589371,0.074259461,0.039771790,0.000438524,-0.000787711,0.002246806
1757074731.000000000,-0.400587531,0.074042348,0.039894050,0.000468876,-0.000831630,0.002233607
1757074732.000000000,-0.400622523,0.073760931,0.040020771,0.000434351,-0.000861682,0.002201454
